Co_ID|PO ID|Exchange|Name| Root_Ticker | qmv | OS_Shares | tech_sub_sec | cps | re |Sector| Sub_Sector |type_of_listing|date_of_listing|QT_Date|RTO_Date|Date_of_amalgamation|Interlisted|formar_cpc_or_cpc|Ven_50_2018|Index|hq_location|hq_region|usa_city|USA_State|Asia_Region|clean_tech_primary|clean_tech_sub_sector|Section|trust| volume_ytd | value_ ytd | num_traded_share_ytd | num_of_month_trading_data |AFRICA|AUS_NZ_PNG|CANADA|CHINA_ ASIA|LATIN_AMERICA|OTHER|UK_EUROPE|USA|Oil_Gas|Gold|Silver|Copper|Nickel|Diamond|Molybdenum|Platinum_PGM|Iron|Lead|Zinc|Rare Earths|Potash|Lithium|Uranium|Coal|Tungsten|base_ precious_metals|mineral_properties|other_properties|
V-02824|1118233|TSXV |Savary Gold Corp.|SCA| 8,599,505 | 214,987,617 ||||Mining||QT from NEX|20080516|20120917 NEX||||Yes|||BC|Canada||||||Tier2|| 17,668,551 | 994,966 | 922 |6|Burkina Faso|||||||||1|||||||||||||||||||
V-01749|14495|TSXV |Saville Resources Inc.|SRE| 1,697,779 | 30,868,714 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 16,560,624 | 1,320,215 | 931 |6|||NT|||||||||||1|||||||||||||||
V-02529|1109449|TSXV |Scorpio Gold Corporation|SGN| 1,874,224 | 124,948,235 ||||Mining||QT|20070618|20090615||||Yes|||BC|Canada||||||Tier2|| 21,218,615 | 643,430 | 1,031 |6||||||||NV||1|||||||||||||||||||
V-01489|1099330|TSXV |ScoZinc Mining Ltd.|SZM| 3,406,896 | 4,206,045 ||||Mining||||||||No|||NS|Canada||||||Tier1|| 1,395,043 | 1,768,437 | 574 |6|||NS|||||||||||||||1|1||||||||||
V-02525|1112242|TSXV |Search Minerals Inc.|SMY| 7,804,643 | 156,092,857 ||||Mining||QT|20070507|20081027||||Yes|||BC|Canada||||||Tier2|| 11,574,837 | 580,550 | 720 |6|||NL|||||||||||||||||1|||||||||
V-01421|1103618|TSXV |Secova Metals Corp.|SEK| 2,025,756 | 20,257,560 ||||Mining||Other|20051026|||||Yes|||BC|Canada||||||Tier2|| 45,641,149 | 1,049,466 | 1,231 |6|||||||||||||||||||||||||||||
V-02482|1111045|TSXV |Sego Resources Inc.|SGZ| 3,815,516 | 76,310,327 ||||Mining||Other|20070327|||||No|||BC|Canada||||||Tier2|| 8,858,470 | 416,373 | 563 |6|||BC|||||||1||1||||||||||||||||Porphyry|
V-02663|1113989|TSXV |Select Sands Corp.|SNS| 37,495,576 | 86,196,726 ||||Mining||Other|20071127||||OTCQX|No||1|BC|Canada||||||Tier2|| 34,017,473 | 14,383,142 | 6,598 |6|||ON,SK|||||AR||1||||||||||||||||||Frac Sand|
V-01763|1063009|TSXV |Senator Minerals Inc.|SNR| 6,846,457 | 41,493,678 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 5,453,557 | 1,208,098 | 823 |6|||||||||||||||||||||||||||||
V-01764|33441|TSXV |Sennen Potash Corporation|SN| 5,124,048 | 10,248,096 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 484,858 | 219,495 | 93 |6|||||||||||||||||||||||||||||
V-01768|36920|TSXV |Serengeti Resources Inc.|SIR| 13,042,341 | 89,947,179 ||||Mining||||||||No|||BC|Canada||||||Tier1|| 6,135,827 | 896,491 | 547 |6|||BC|||||||1||1|||||||||||||||||
V-03116|1132635|TSXV |SGX Resources Inc.|SXR| 2,703,883 | 135,194,169 ||||Mining||Other|20100428|||||No|||ON|Canada||||||||||||||ON||||||||||||||||||||||||1||
V-01367|17132|TSXV |Shoshoni Gold Ltd.|SHJ| 540,369 | 9,006,150 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 1,350,953 | 68,476 | 86 |6|||YT|||||||1|||||||||||||||||||
V-00895|16392|TSXV |Sienna Resources Inc.|SIE| 5,315,638 | 53,156,382 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 32,665,156 | 8,852,469 | 3,568 |6|||Quebec,YT|||||||1|1|1|||||||1|1||1||||||Aluminous Clay|
V-03935|1152880|TSXV |Sigma Lithium Resources Corporation|SGMA| 131,256,296 | 66,967,498 ||||Mining||QT from NEX|20120117|20180509 NEX||||Yes|||Brazil|Latin America||||||Tier1|| 11,944,033 | 2,581,454 | 619 |2|||||Brazil|||||||||||||||||1|||||||
V-03901|1143120|TSXV |Signature Resources Ltd.|SGU| 10,432,975 | 90,721,524 ||||Mining||IPO|20111118||||OTCQB|No|||BC|Canada||||||Tier2|| 8,135,750 | 704,888 | 727 |6|||||||||||||||||||||||||||||
V-01292|32638|TSXV |Silver Grail Resources Ltd.|SVG| 1,805,350 | 27,774,622 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 2,679,461 | 192,879 | 226 |6|||||||||||||||||||||||||||||
V-03955|1152445|TSXV |Silver Mountain Mines Inc.|SMM| 965,030 | 48,251,503 ||||Mining||Other|20120215|||||No|||AB|Canada||||||Tier2|| 2,536,775 | 56,003 | 127 |6|||BC|||||||||||||||||||||||1|||
V-02753|1117441|TSXV |Silver One Resources Inc.|SVE| 18,957,364 | 97,217,249 ||||Mining||QT from NEX|20080304|20160805 NEX||||Yes||1|BC|Canada||||||Tier2|| 18,959,145 | 5,236,145 | 4,976 |6|||||Mexico||||||1||||||||||||||||||
V-04191|1168740|TSXV |Silver Predator Corp.|SPD| 2,288,788 | 28,609,854 ||||Mining||TSX Comedown|20140313|||||No|||USA|USA|Hayden|ID||||Tier2|| 294,527 | 29,606 | 87 |6||||||||ID, NV||1|1|1|||||||||||||||||
V-03847|1150286|TSXV |Silver Range Resources Ltd.|SNG| 12,263,118 | 72,135,991 ||||Mining||Other|20110810|||||No|||BC|Canada||||||Tier2|| 2,042,245 | 316,761 | 402 |6|||Canada|||||||||||||||||||||||1|||
V-01791|1023409|TSXV |Silver Spruce Resources Inc.|SSE| 1,714,050 | 68,561,992 ||||Mining||||||||No|||NS|Canada||||||Tier2|| 9,209,385 | 419,980 | 545 |6|||NL|||||||1|1|||||||||1|||1||||||
V-04371|1179295|TSXV |Silver Viper Minerals Corp.|VIPR| 4,700,542 | 42,710,301 ||||Mining||IPO|20170927|||||No|||BC|Canada||||||Tier2|| 3,751,859 | 694,390 | 371 |6|||||Mexico|||||1|1|||||||||||||||1|||
V-01793|31398|TSXV |SilverCrest Metals Inc.|SIL| 200,567,808 | 73,199,930 ||||Mining||Other|20151009||||OTCQX|No||1|BC|Canada||||||Tier1|| 15,377,307 | 35,222,213 | 15,949 |6|||||Mexico|||||1|1|||||||||||||||1|||
V-01796|1074432|TSXV |Sirios Resources Inc.|SOI| 27,260,881 | 136,304,404 ||||Mining||||||||No||1|Quebec|Canada||||||Tier1|| 9,780,453 | 2,661,432 | 2,011 |6|||Quebec|||||||1|1||||||||||||1||||||
V-01797|37291|TSXV |Skeena Resources Limited|SKE| 35,228,134 | 90,328,548 ||||Mining||||||||No||1|BC|Canada||||||Tier1|| 11,658,922 | 6,807,008 | 3,282 |6|||BC|||||||1||1|||||||||||||||||
V-01801|16380|TSXV |Skyharbour Resources Ltd.|SYH| 22,402,999 | 54,641,461 ||||Mining|||||||OTCQB|No||1|BC|Canada||||||Tier2|| 10,581,849 | 4,310,050 | 3,488 |6|||SK||||||||||||||||||||1|||||Thorium|
V-01803|1044236|TSXV |SLAM Exploration Ltd.|SXL| 1,204,542 | 40,151,416 ||||Mining||||||||No|||NB|Canada||||||Tier2|| 11,183,972 | 501,774 | 647 |6|||NB,ON|||||||1|||||||||||||||||||
V-00281|12154|TSXV |Smooth Rock Ventures Corp.|SOCK| 1,750,098 | 29,168,298 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 1,011,223 | 96,813 | 112 |6|||Quebec|||||TX|1||||||||||||||||||1||
V-02107|1074443|TSXV |Soci‚t‚ d'Exploration MiniŠre Vior Inc.|VIO| 4,475,927 | 44,759,267 ||||Mining||||||||No|||Quebec|Canada||||||Tier2|| 4,425,103 | 470,857 | 452 |6|||Quebec|||||||1|||||||||||||||||||
V-04012|1151750|TSXV |Sojourn Exploration Inc.|SOJ| 1,923,126 | 14,245,378 ||||Mining||QT|20120518|20130731||||Yes|||BC|Canada||||||Tier2|| 10,570,167 | 1,849,107 | 1,485 |6|||BC|||||||1|||||||||||||||||||
V-02430|1109135|TSXV |Sokoman Iron Corp.|SIC| 3,210,119 | 58,365,809 ||||Mining||QT|20070105|20080910||||Yes|||NL|Canada||||||Tier2|| 15,279,895 | 675,630 | 742 |6|||NL|||||NV|||||||||||||||||||1||
V-03919|1148390|TSXV |SolidusGold Inc.|SDC| 5,573,187 | 55,731,865 ||||Mining||QT|20111229|20131231||||Yes|||BC|Canada||||||Tier2|| 736,086 | 90,026 | 83 |6|||BC|||||NV||1|1|1|||||||||||||||||
V-04447|1181110|TSXV |Solstice Gold Corp.|SGC| 12,916,004 | 66,762,584 ||||Mining||Other|20180514|||||No|||BC|Canada||||||Tier2|| 8,623,750 | 1,835,079 | 477 |2|||NU|||||||1|||||||||||||||||||
V-01304|23783|TSXV |Sonora Gold & Silver Corp.|SOC| 6,028,725 | 70,926,172 ||||Mining||||||||No|||BC|Canada||||||Tier2|| 7,312,664 | 977,651 | 448 |6|Tanzania|||||||||||||||||||||||||1|||
